abarth,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100807665-137795886.png
byd,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100836219-466905497.png
citroen,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100860415-163236484.png
datsun,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100878538-547223064.png
fiat,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100896805-231076407.png
force-motors,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100916531-440877382.png
ford,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100934751-330939305.png
honda,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100951948-364609129.png
hyundai,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722100978006-639380205.png
isuzu,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101003233-371590058.png
jeep,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101026710-792345287.png
kia,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101044584-322525731.png
mahindra,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101076244-327957181.png
mg,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101090482-193704382.png
mitsubishi,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101106744-472820084.png
nissan,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101135423-385156128.png
renault,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101168725-323378924.png
skoda,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101184699-909566821.png
ssangyong,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101210155-19437045.png
suzuki,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101224978-259883609.png
tata,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101246034-270506923.png
toyota,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101263334-765019224.png
volkswagen,https://spintrip-bucket.s3.amazonaws.com/brand/carImage-1722101278351-146748881.png